x_km,y_km,z_km,datetime
-2574.2500177723223,-2663.66384069298,5854.243159054034,2025-06-08 04:20:00+00:00
-361.2754852962911,1093.8105762170003,6831.560731935247,2025-06-08 04:30:00+00:00
2001.3959468528012,4398.314040609616,4971.606611195145,2025-06-08 04:40:00+00:00
3534.3284663497675,5879.568822006017,1045.8062184898151,2025-06-08 04:50:00+00:00
3601.850413841281,4922.954624737059,-3315.0796085500974,2025-06-08 05:00:00+00:00
2179.41785394,1929.5859014214877,-6302.221043533986,2025-06-08 05:10:00+00:00
-141.7812102098783,-1859.8250202515583,-6684.640920514464,2025-06-08 05:20:00+00:00
-2404.0442539815244,-4881.695552269875,-4303.6696841235025,2025-06-08 05:30:00+00:00
-3670.306016585328,-5881.672166276484,-137.3556139740759,2025-06-08 05:40:00+00:00
-3411.3297456902587,-4437.60054114474,4085.5857343286275,2025-06-08 05:50:00+00:00
-1734.9707583112872,-1149.5563396646635,6607.18457306663,2025-06-08 06:00:00+00:00
660.8179462526692,2615.4977059832772,6383.005461833753,2025-06-08 06:10:00+00:00
2782.7405640967445,5296.94833619814,3507.7938700442983,2025-06-08 06:20:00+00:00
3750.6963439627984,5781.918285089854,-825.5896294120388,2025-06-08 06:30:00+00:00
3164.5686520712193,3870.994647521909,-4816.740261163116,2025-06-08 06:40:00+00:00
1271.2007533628114,360.6629760500426,-6814.256050154659,2025-06-08 06:50:00+00:00
-1145.9863956084023,-3298.354052909717,-5996.55112659283,2025-06-08 07:00:00+00:00
-3089.2671989544397,-5594.478207886309,-2696.854367024015,2025-06-08 07:10:00+00:00
-3750.6956022857294,-5569.641731091292,1723.251863215922,2025-06-08 07:20:00+00:00
-2852.9442971392186,-3229.4758127659006,5425.101044360216,2025-06-08 07:30:00+00:00
-770.7841136280019,451.6878220128482,6869.75784621882,2025-06-08 07:40:00+00:00
1630.8081991138117,3945.9713519668535,5461.021139463151,2025-06-08 07:50:00+00:00
3356.3896540008677,5804.798382385239,1783.4643517345185,2025-06-08 08:00:00+00:00
3690.153029953501,5256.486271530672,-2635.750060148829,2025-06-08 08:10:00+00:00
2496.6094004134993,2532.3040705789226,-5962.2769851044095,2025-06-08 08:20:00+00:00
273.0540884741173,-1236.9536806294195,-6823.735676852835,2025-06-08 08:30:00+00:00
-2062.7131913577205,-4495.8725428969265,-4865.186054481468,2025-06-08 08:40:00+00:00
-3544.4225167262657,-5893.999852634759,-889.686278760021,2025-06-08 08:50:00+00:00
-3553.6777717491887,-4843.808063436411,3455.5265324806537,2025-06-08 09:00:00+00:00
-2086.053993654035,-1780.431837070185,6361.361187101766,2025-06-08 09:10:00+00:00
246.83949754936785,2021.7680029814815,6622.8003142211355,2025-06-08 09:20:00+00:00
2477.425076948257,4986.4682321406,4133.783858923199,2025-06-08 09:30:00+00:00
3680.7414203330663,5883.662300525285,-73.35619482713645,2025-06-08 09:40:00+00:00
3358.455282654388,4342.043099577719,-4250.594353594161,2025-06-08 09:50:00+00:00
1648.0438050741232,1005.4184402404825,-6667.638108569412,2025-06-08 10:00:00+00:00
-741.6717408274666,-2745.830063848485,-6329.775180930705,2025-06-08 10:10:00+00:00
-2824.6975542610885,-5363.118988519336,-3373.427564930983,2025-06-08 10:20:00+00:00
-3736.3393767753773,-5756.834623042263,983.6744238603809,2025-06-08 10:30:00+00:00
-3094.867718665569,-3757.614754276211,4930.573882004435,2025-06-08 10:40:00+00:00
-1168.1124671450314,-197.63538670901318,6825.309625639895,2025-06-08 10:50:00+00:00
1242.8258735196664,3444.591988166007,5884.6737914145115,2025-06-08 11:00:00+00:00
3138.6437488549036,5659.411556311463,2499.595294377274,2025-06-08 11:10:00+00:00
3732.863479197781,5527.295305562346,-1924.762443353653,2025-06-08 11:20:00+00:00
2781.3331217261184,3106.1254308576163,-5550.95325984889,2025-06-08 11:30:00+00:00
681.7663357508601,-597.4977505848819,-6881.17990124112,2025-06-08 11:40:00+00:00
-1698.5618860442535,-4054.6290166454874,-5368.224835730396,2025-06-08 11:50:00+00:00
-3376.0087418700027,-5834.7454661829515,-1631.2408285541255,2025-06-08 12:00:00+00:00
-3651.5453252146212,-5192.232253364438,2783.7791927718686,2025-06-08 12:10:00+00:00
-2409.2757181067236,-2391.4197634639154,6038.948834610972,2025-06-08 12:20:00+00:00
-167.33661285055913,1401.960752201688,6782.919842470704,2025-06-08 12:30:00+00:00
2143.922594818134,4614.69210197934,4709.952221080547,2025-06-08 12:40:00+00:00
3566.3046834457605,5914.346003924156,679.723950286688,2025-06-08 12:50:00+00:00
3510.1457725500186,4761.90068954698,-3633.46034352276,2025-06-08 13:00:00+00:00
2002.333560104825,1639.8059737357257,-6441.267405930839,2025-06-08 13:10:00+00:00
-331.0905121755491,-2158.701093984184,-6587.157361375598,2025-06-08 13:20:00+00:00
-2527.431769257907,-5066.130149458254,-4009.3512259829504,2025-06-08 13:30:00+00:00
-3676.3128583625294,-5874.5341702909445,232.25480227641515,2025-06-08 13:40:00+00:00
-3297.285781799914,-4241.546074135918,4376.605288873425,2025-06-08 13:50:00+00:00
-1548.4808297462037,-846.3056982812241,6698.748678273966,2025-06-08 14:00:00+00:00
