datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target,your_pos_x,your_pos_y,your_pos_z,other_pos_x,other_pos_y,other_pos_z,your_vel_x,your_vel_y,your_vel_z,other_vel_x,other_vel_y,other_vel_z,rel_vel_x,rel_vel_y,rel_vel_z,rel_vel_radial_kms,rel_vel_tangential_kms,angular_velocity_deg_per_sec,azimuth_deg,elevation_deg
2025-06-07 10:20:00+00:00,2024-095A,59810,,22.87,0.022,True,False,-2476.910945754209,-4856.594319931939,-4290.84012940863,-2485.863858037293,-4840.447289657472,-4277.340598542534,-3.205303684386056,-3.550730314992048,5.876612089165087,-3.2237867430560407,-3.5401484015160607,5.88193552427672,-0.018483058669984676,0.01058191347598747,0.005323435111633579,0.018,0.013,0.032022,119.007,36.173
2025-06-07 10:30:00+00:00,2024-095A,59810,,34.49,0.024,True,False,-3751.5431608120653,-5830.512531851677,-120.9053943247671,-3764.599791968833,-5804.1109228019195,-102.96052503441301,-0.8884284858064969,0.4243491350899808,7.521065711758181,-0.8822279169353693,0.4472281053850648,7.526412259810677,0.006200568871127632,0.02287897029508401,0.005346548052495237,0.018,0.016,0.027213,116.314,31.352
2025-06-07 10:40:00+00:00,2024-095A,59810,,44.12,0.043,True,False,-3467.1566322361623,-4381.607336455175,4098.795989437394,-3468.7102563392673,-4340.223760497527,4114.000816351218,1.8018988045365878,4.230332271193363,6.034452781439445,1.8325653316352535,4.254602019006059,6.016711773150427,0.030666527098665686,0.02426974781269653,-0.01774100828901748,0.016,0.04,0.051978,92.15,20.161
2025-06-09 18:00:00+00:00,2024-110B,60013,,45.74,1.446,True,False,898.445575030442,-237.14470829745088,-6878.0794172384,880.1889484285949,-202.20586465109753,-6854.880312514548,-3.8244567906190885,-6.525000309837054,-0.27120384417958304,-2.525890845277039,-7.1421237639934425,-0.11640372795585403,1.2985659453420495,-0.6171234541563884,0.15480011622372902,-0.911,1.123,1.40653,117.588,30.477
2025-06-07 20:30:00+00:00,SATELIOT_2,60534,,28.42,0.325,False,False,-557.5429289815581,784.94825676194,6860.487364498857,-569.2006339560074,791.191327131509,6885.642018890256,4.109253043557274,6.360123641351052,-0.38950727565471305,4.369832291504444,6.170017377291193,-0.34716027441202096,0.26057924794717024,-0.19010626405985942,0.042347001242692084,-0.111,0.306,0.616404,151.83,62.268
2025-06-08 20:30:00+00:00,ICEYE-X39,60546,,42.15,0.249,False,False,23.735473091113594,1708.4873973003166,6714.6681097401315,28.38759514040879,1677.9445343295047,6743.344109675981,4.049059507178177,6.2099344086071255,-1.5879310752623101,4.249909769819425,6.075934740971315,-1.5282190961774587,0.2008502626412474,-0.13399966763581084,0.059711979084851485,0.16,0.191,0.258972,-81.34,42.867
2025-06-07 00:30:00+00:00,UM5-RIBAT,60554,,41.89,0.201,True,False,1062.5622871405008,-6.764532413527487,-6859.458117819832,1099.1185737165497,-25.483126832929138,-6867.691285066814,-4.072259941779398,-6.347926402438334,-0.6210565751085326,-4.23232878159961,-6.2321209631611225,-0.6561621326044246,-0.16006883982021147,0.11580543927721187,-0.03510555749589195,-0.185,0.079,0.107768,-27.115,-11.336
2025-06-06 09:20:00+00:00,CONNECTA IOT-8,62695,,47.16,0.141,False,False,-942.2123428081413,197.2969987242678,6859.913088766128,-949.601812681664,230.87544826964017,6892.194554521926,4.181557744896855,6.313239520877653,0.3955566730071904,4.064506953719095,6.37106622529614,0.3435032865987945,-0.11705079117775963,0.057826704418486585,-0.05205338640839591,0.024,0.139,0.168269,102.411,43.195
2025-06-07 14:00:00+00:00,CENTAURI-7,62708,,47.96,0.178,True,False,-2102.3850486517094,-1738.5607157646427,6367.404454449834,-2085.14701855528,-1775.1889687029209,6393.126173633858,3.4950523656200314,6.1112845698427565,2.82055336137644,3.3371252429891656,6.189963422864641,2.801108338866623,-0.15792712263086583,0.07867885302188427,-0.019445022509817278,-0.127,0.124,0.147815,-64.797,32.431
2025-06-09 20:20:00+00:00,FIREFLY-3,62710,,38.87,0.166,True,False,-1716.608465713385,-1221.2807064941887,6599.40999019811,-1716.9002625588219,-1247.3786598019249,6628.208734730956,3.469173007060409,6.4114973749906525,2.088345550374923,3.3166530532623386,6.476064686853017,2.075585363511502,-0.1525199537980706,0.06456731186236464,-0.012760186863420842,-0.052,0.158,0.232739,-90.641,47.815
2025-06-07 05:00:00+00:00,LEMUR-2-EMERSONROSE,63261,,33.1,14.988,False,False,3824.1966907641204,5314.538380760074,-2307.8324160889915,3824.2897877904256,5346.891249440114,-2314.822085538118,-0.615512707528328,-2.6262838172292353,-7.0787980700232565,2.3317886203940277,1.380905899133655,7.059531051526429,2.9473013279223554,4.00718971636289,14.138329121549685,0.939,14.958,25.8933,89.835,-12.191
